title,author,price,isbn,publishedDate,categoryName,stockQuantity,description,coverImageUrl
Distributed Application Development with PowerBuilder 6.0,Michael J. Barlotta,494,1884777686,06-01-1998,PowerBuilder,15,Distributed Application Development with PowerBuilder 6.0 is a vital source for the PowerBuilder programmer; it provides the sort of detailed coverage of Distributed PowerBuilder that you can find nowwhere else.    The book opens with a discussion of...,
Jaguar Development with PowerBuilder 7,Michael Barlotta,466,1884777864,08-01-1999,PowerBuilder,23,Jaguar Development with PowerBuilder 7 is the definitive guide to distributed application development with PowerBuilder. It is the only book dedicated to preparing PowerBuilder developers for Jaguar applications and has been approved by Sybase engine...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/barlotta2.jpg
Taming Jaguar,Michael J. Barlotta,731,1884777686,07-01-2000,PowerBuilder,44,"Taming Jaguar is part of the PowerBuilder Developer's series, which includes Distributed Application Development with PowerBuilder 6 and Jaguar Development with PowerBuilder 7.    An application server is the heart of your enterprise computing archit...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/barlotta3.jpg
3D User Interfaces with Java 3D,Jon Barrilleaux,162,1884777902,08-01-2000,Java,4,"3D User Interfaces with Java 3D is a practical guide for providing next-generation applications with 3D user interfaces for manipulation of in-scene objects. Emphasis is on standalone and web-based business applications, such as for online sales and ...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/barrilleaux.jpg
Hibernate in Action,Christian Bauer,756,193239415X,08-01-2004,Java,3,Hibernate practically exploded on the Java scene. Why is this open-source tool so popular  Because it automates a tedious task: persisting your Java objects to a relational database. The inevitable mismatch between your object-oriented code and the r...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/bauer.jpg
Hibernate in Action (Chinese Edition),Christian Bauer,288,ISBN155681,06-01-1999,Java,44,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/bauer-cn.jpg
Java Persistence with Hibernate,Christian Bauer,449,1932394885,11-01-2006,Java,11,"Persistence -- the ability of data to outlive an instance of a program -- is central to modern applications. Hibernate, the most popular Java persistence tool, provides automatic and transparent object/relational mapping so it's a snap to work with S...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/bauer2.jpg
JSTL in Action,Shawn Bayern,771,1930110529,07-01-2002,Internet,27,"JSTL is an important simplification of the Java web platform. With JSTL, page authors can now write dynamic pages using standard HTML-like tags and an easy-to-learn expression language. JSTL is a standard from the Java Community Process, and its expr...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/bayern.jpg
iBATIS in Action,Clinton Begin,241,1932394826,01-01-2007,Web Development,1,"Unlike some complex and invasive persistence solutions, iBATIS keeps O/RM clean and simple. It is an elegant persistence framework that maps classes to SQL statements and keeps the learning curve flat. The iBATIS approach makes apps easy to code, tes...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/begin.jpg
Designing Hard Software,Douglas W. Bennett,325,133046192,02-01-1997,Object-Oriented Programming,27,"Have you ever heard, ""I can't define a good design but I know one when I see it""  Designing Hard Software discusses ways to develop software system designs that have the same tangibility and visibility as designs for hard objects like buildings or co...",
Hibernate Search in Action,Emmanuel Bernard,177,1933988649,21-12-2008,Java,7,"Good search capability is one of the primary demands of a business application. Engines like Lucene provide a great starting point, but with complex applications it can be tricky to implement. It's tough to keep the index up to date, deal with the mi...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/bernard.jpg
jQuery in Action,Bear Bibeault,476,1933988355,01-01-2008,Web Development,8,A really good web development framework anticipates your needs. jQuery does more   it practically reads your mind. Developers fall in love with this JavaScript library the moment they see 20 lines of code reduced to three. jQuery is concise and reada...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/bibeault.jpg
"jQuery in Action, Second Edition",Bear Bibeault,994,1935182323,06-01-2010,Java,16,A really good web development framework anticipates your needs. jQuery does more   it practically reads your mind. Developers fall in love with this JavaScript library the moment they see 20 lines of code reduced to three. jQuery is concise and reada...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/bibeault2.jpg
Building Secure and Reliable Network Applications,Kenneth P. Birman,494,1884777295,01-01-1996,Networking,49,"As the ""network is the computer"" slogan becomes reality so reliability and security of networked applications become more important. Not only are hospitals, air traffic control systems, and telephone networks becoming more networked, but business app...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/birman.jpg
Ruby for Rails,David A. Black,370,1932394699,05-01-2006,Web Development,32,"Ruby for Rails helps Rails developers achieve Ruby mastery. Each chapter deepens your Ruby knowledge and shows you how it connects to Rails. You   ll gain confidence working with objects and classes and learn how to leverage Ruby   s elegant, express...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/black.jpg
The Well-Grounded Rubyist,David A. Black,822,1933988657,04-01-2009,Programming,14,"Interest in Ruby has exploded. Developers discovering this elegant, dynamic language quickly learn that Ruby is a powerful alternative to traditional static languages like Java or C++. It runs in most operating environments and can handle virtually a...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/black2.jpg
Website Owner's Manual,Paul A. Boag,672,1933988452,10-01-2009,Internet,8,"Just because you're responsible for your organization's web presence doesn't mean you know how to build a website. The job of planning, launching, and managing a site often falls to people who have little or no experience in web design or development...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/boag.jpg
ASP.NET 4.0 in Practice,Daniele Bochicchio,714,1935182463,15-05-2011,Microsoft .NET,40,"ASP.NET is an established technology to build web applications using Microsoft products. It drives a number of enterprise-level web sites around the world, but it can be scaled for projects of any size. The new version 4.0 is an evolutionary step: yo...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/bochicchio.jpg
Hello! Python,Anthony Briggs,986,1935182080,13-02-2012,Python,30,"Learn Python the fast and fun way! Hello! Python is a fully-illustrated, project-driven tutorial designed to get you up and running with Python, no experience required. It's full of projects that help you learn the way most programmers do   one step ...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/briggs.jpg
PFC Programmer's Reference Manual,Richard Brooks,523,1884777554,06-01-1998,PowerBuilder,28,PFC Programmers' Reference Manual provides information that should prove indispensible for the PowerBuilder programmer trying to learn the PowerBuilder Foundation Classes. It lists all of the objects and functions that they might use for a project wi...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/brooks.jpg
Graphics File Formats,C. Wayne Brown,491,133034054,06-01-1995,Computer Graphics,38,Graphics File Formats is a comprehensive guide to the file formats used in computer graphics and related areas. It discusses implementation and design of file formats in a readable style focusing on the basic issues important for the evaluation or de...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/brown.jpg
Visual Object Oriented Programming,Margaret M. Burnett,762,131723979,02-01-1995,Programming,49,This first book on the union of two rapidly growing approaches to programming--visual programming and object technology--provides a window on a subject of increasing commercial importance. It is an introduction and reference for cutting-edge develope...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/burnett.jpg
iOS in Practice,Bear P. Cahill,318,1617291269,11-01-2013,Mobile Technology,14,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/cahill.jpg
iPhone in Action,Christopher Allen,767,193398886X,12-01-2008,Web Development,5,"The iPhone explodes old ideas of a cell phone. Its native SDK offers a remarkable range of features including easy-to-build graphical objects, a unique navigation system, and a built-in database, all on a location-knowledgeable device. Websites and w...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/callen.jpg
Silverlight 2 in Action,Chad A. Campbell,549,1933988428,31-10-2008,Microsoft .NET,23,"Microsoft describes Silverlight as a ""cross-browser, cross-platform plug-in for delivering the next generation of .NET based media experiences and rich interactive applications for the Web."" That's a really boring description for a really exciting ne...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/campbell.jpg
"The Quick Python Book, Second Edition",Naomi R. Ceder,943,193518220X,01-01-2010,Python,16,"This revision of Manning's popular The Quick Python Book offers a clear, crisp introduction to the elegant Python programming language and its famously easy-to-read syntax. Written for programmers new to Python, this updated edition covers features c...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/ceder.jpg
Internet and Intranet Applications with PowerBuilder 6,Tom Cervenka,990,1884777600,12-01-2000,PowerBuilder,5,"If you're a PowerBuilder programmer, Internet and Intranet Applications with PowerBuilder 6 is your ticket to learning Web.PB and related technologies. The book covers everything you need to know to build web browser and server programs with the Powe...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/cervenka.jpg
Practical Methods for Your Year 2000 Problem,Robert Chapman,562,188477752X,01-01-1998,Business,42,"Practical Methods for Your Year 2000 Problem gives the Year 2000 project team a step-by-step methodology for addressing the Year 2000 problem. By seeking to minimize the amount of work to be performed, and thus maximize the probability of having a su...",
Mobile Agents,William R. Cockayne and Michael Zyda,217,1884777368,03-01-1997,Internet,7,Mobile Agents is the first book to give the reader the ability to create and use powerful mobile agents on the Internet. The book presents the reality of today's agent technologies and the future that this technology promises. It teaches how to creat...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/cockayne.jpg
Spring Dynamic Modules in Action,Arnaud Cogoluegnes,814,1935182307,09-04-2010,Java,2,"OSGi is increasingly familiar to Java coders working in distributed environments, but the tools required to implement OSGi-based systems have been slow to develop. Spring Dynamic Modules (Spring DM) is a framework designed to make it easy to build Sp...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/cogoluegnes.jpg
SQL Server 2008 Administration in Action,Rod Colledge,642,193398872X,08-01-2009,Microsoft,17,"The integrity and security of your database is crucial to your business. SQL Server 2008 is a massive and mature product with a very large feature set. As a SQL Server administrator, you must be equipped to handle myriad day-to-day tasks to keep your...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/colledge.jpg
Android in Practice,Charlie Collins,510,1935182927,30-09-2011,Mobile Technology,18,"Android, Google's platform for mobile application development, provides powerful features, a robust SDK, and almost limitless possibilities. It's not hard to find the information you need to build your first Android app, but then what  If you want to...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/collins.jpg
Object Oriented Perl,Damian Conway,457,1884777791,08-01-1999,Object-Oriented Programming,39,Object Oriented Perl is designed to provide anyone who is familiar with the basics of regular Perl programming with a complete introduction to the object-oriented features of Perl. The book moves from the very simplest applications through advanced a...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/conway.jpg
GWT in Practice,Robert Cooper,741,1933988290,04-01-2008,Web Development,1,"If you   re a web developer, you already know that you can use Ajax to add rich, user-friendly, dynamic features to your applications. With the Google Web Toolkit (GWT), a new Ajax tool from Google that automatically converts Java to JavaScript, you ...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/cooper.jpg
Ajax in Action,Dave Crane,632,1932394613,10-01-2005,XML,7,Web users are getting tired of the traditional web experience. They get frustrated losing their scroll position; they get annoyed waiting for refresh; they struggle to reorient themselves on every new page. And the list goes on. With asynchronous Jav...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/crane.jpg
Ajax in Practice,Dave Crane,713,1932394990,06-01-2007,Web Development,5,"Ajax gives web developers the potential to create rich user-centered Internet applications. But Ajax also adds a new level of complexity and sophistication to those applications. Ajax in Practice tackles Ajax head-on, providing countless hands-on tec...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/crane2.jpg
Prototype and Scriptaculous in Action,Dave Crane,453,1933988037,04-01-2007,Web Development,26,"Common Ajax tasks should be easy, and with Prototype and Scriptaculous they are. Prototype and Scriptaculous are libraries of reusable JavaScript code that simplify Ajax development. Prototype provides helpful methods and objects that extend JavaScri...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/crane3.jpg
POJOs in Action,Chris Richardson,733,1932394583,01-01-2006,Java,19,"There is agreement in the Java community that EJBs often introduce more problems than they solve. Now there is a major trend toward lightweight technologies such as Hibernate, Spring, JDO, iBATIS, and others, all of which allow the developer to work ...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/crichardson.jpg
Data Munging with Perl,David Cross,833,1930110006,01-01-2001,Perl,36,"Your desktop dictionary may not include it, but 'munging' is a common term in the programmer's world. Many computing tasks require taking data from one computer system, manipulating it in some way, and passing it to another. Munging can mean manipula...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/cross.jpg
Hello! HTML5 & CSS3,Rob Crowther,841,1935182897,17-10-2012,Internet,4,"HTML and CSS are the foundation of the web, and HTML5 and CSS3 are the latest standards. If you build web pages, mobile apps, or do any type of development at all, you'll have to learn HTML5 and CSS3, so why not start now  Quick and Easy HTML5 and CS...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/crowther.jpg
Seam in Action,Dan Allen,958,1933988401,08-01-2008,Java,26,"Seam is an exciting new application framework based on the Java EE platform that you can use to build rich, web-based business applications. Seam is rapidly capturing the interest of Java enterprise developers because of its focus on simplicity, ease...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/dallen.jpg
Wicket in Action,Martijn Dashorst,122,1932394982,08-01-2008,Web Development,33,"Wicket bridges the mismatch between the web's stateless protocol and Java's OO model. The component-based Wicket framework shields you from the HTTP under a web app so you can concentrate on business problems instead of the plumbing code. In Wicket, ...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/dashorst.jpg
Open Source SOA,Jeff Davis,386,1933988541,05-01-2009,Java,29,"Service Oriented Architecture, or SOA, has become embraced by many organizations as a means of improving reusability of software assets; providing better alignment between business and IT; and, increasing agility for responding to demands in the mark...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/davis.jpg
Struts 2 in Action,Donald Brown,748,193398807X,05-01-2008,Java,40,"The original Struts project revolutionized Java web development and its rapid adoption resulted in the thousands of Struts-based applications deployed worldwide. Keeping pace with new ideas and trends, Apache Struts 2 has emerged as the product of a ...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/dbrown.jpg
Essential Guide to Peoplesoft Development and Customization,Tony DeLia,101,1884777929,08-01-2000,Client-Server,19,"The Essential Guide to PeopleSoft Development and Customization is an exhaustive, as well as practical, guide that covers PeopleSoft 7.5 and many new features in release 8.0. Both novice and experienced programmers will benefit from the detailed cove...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/delia.jpg
.NET Multithreading,Alan Dennis,968,1930110545,11-01-2002,Microsoft .NET,49,"If you need high performance, or a rich user experience, you should consider multithreading. With .NET you can develop stable and robust multithreaded applications with minimal effort. .NET Multithreading teaches the basics in an understandable and p...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/dennis.jpg
SCWCD Exam Study Kit Second Edition,Hanumant Deshmukh,545,1932394389,05-01-2005,Internet,36,"With the tremendous penetration of J2EE in the enterprise, passing the Sun Certified Web Component Developer exam has become an important qualification for Java and J2EE developers. To pass the SCWCD exam (Number: 310-081) you need to answer 69 quest...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/deshmukh2.jpg
Spring Roo in Action,Ken Rimple,147,193518296X,13-04-2012,Java,49,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/rimple.jpg
SOA Governance in Action,Jos Dirksen,458,1617290270,27-07-2012,java,26,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/dirksen.jpg
RSS and Atom in Action,Dave Johnson,901,1932394494,03-01-2006,Internet,16,RSS and Atom in Action is organized into two parts. The first part introduces the blog technologies of newsfeed formats and publishing protocols   the building blocks. The second part shows how to put to those blocks together to assemble interesting ...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/dmjohnson.jpg
"LDAP Programming, Management and Integration",Clayton Donley,177,1930110405,11-01-2002,Internet,40,"LDAP is the leading Internet protocol for directory-like information: user identities, preferences, security privileges. etc. Because it is popular, most programming languages have handy extensions for searching and updating LDAP directories. But mos...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/donley.jpg
Mule in Action,David Dossot,235,1933988967,07-01-2009,Java,3,"Mule is a widely used open source enterprise service bus. It is standards based, provides easy integration with Spring and JBoss, and fully supports the enterprise messaging patterns collected by Hohpe and Woolf. You can readily customize Mule withou...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/dossot.jpg
Java Foundation Classes,Stephen C. Drye,852,1884777678,10-01-2001,Java,48,"Java Foundation Classes: Swing Reference is the comprehensive guide to Swing 1.1 and Java 2's Swing package. Written by the programmers that maintain the Internet's Swing FAQ, this book is based on the much enhanced, most recent release of Swing. All...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/drye.jpg
Managing Components with Modeler,Vikram Goyal,344,1932394524k-e,03-01-2005,Java,29,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/goyal11.jpg
Command-line Processing with CLI,Vikram Goyal,827,1932394524l-e,03-01-2005,Java,47,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/goyal12.jpg
Understanding and Using Chain,Vikram Goyal,979,1932394524m-e,03-01-2005,Java,39,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/goyal13.jpg
Working with the Logging and Discovery Components,Vikram Goyal,321,1932394524n-e,03-01-2005,Java,10,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/goyal14.jpg
Uploading files with FileUpload,Vikram Goyal,606,1932394524b-e,03-01-2005,Java,5,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/goyal2.jpg
Handling Protocols with the Net Component,Vikram Goyal,590,1932394524c-e,03-01-2005,Java,14,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/goyal3.jpg
XML Parsing with Digester,Vikram Goyal,416,1932394524d-e,03-01-2005,Java,33,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/goyal4.jpg
JXPath and Betwixt: Working with XML,Vikram Goyal,740,1932394524e-e,03-01-2005,Java,15,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/goyal5.jpg
Validating Data with Validator,Vikram Goyal,467,1932394524f-e,03-01-2005,Java,36,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/goyal6.jpg
Enhancing Java Core Libraries with Collections,Vikram Goyal,987,1932394524g-e,03-01-2005,Java,15,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/goyal7.jpg
Enhancing Java Core Libraries with BeanUtils and Lang,Vikram Goyal,392,1932394524h-e,03-01-2005,Java,11,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/goyal8.jpg
Pool and DBCP: Creating and Using Object Pools,Vikram Goyal,113,1932394524i-e,03-01-2005,Java,12,nan...,https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/goyal9.jpg
Python and Tkinter Programming,John E. Grayson,884,1884777813,01-01-2000,Python,39,"If you are interested in Python and Tkinter, you have probably noticed that although there is some good contributed documentation on the Web, there is not enough to get Tkinter applications up and running. Python and Tkinter Programming is the answer...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/grayson.jpg
Microsoft.NET for Programmers,Fergal Grimes,870,1930110197,12-01-2002,Microsoft .NET,15,"Written for intermediate and advanced programmers, this book builds on your existing knowledge to teach you exactly what you need to know to develop .NET applications.    Packed full of practical examples, the book presents a case study which takes y...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/grimes.jpg
Grails in Action,Glen Smith,154,1933988932,05-01-2009,Java,3,"Web apps shouldn't be hard to build, right  The developers of Grails agree. This hyper-productive open-source web framework lets you ""code by convention"", leaving you to focus on what makes your app special. Through its use of Groovy, it gives you a ...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/gsmith.jpg
"Up to Speed with Swing, Second Edition",Steven Gutz,705,1884777759,10-01-1999,Java,18,"Now in its Second Edition, Up to Speed with Swing is for you if you want to get on the fast track to Java Swing. The second edition has been extensively updated to cover Java 1.2 with additional code examples and illustrations.    Guided by a master ...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/gutz2.jpg
OSGi in Action,Richard S. Hall,314,1933988916,04-06-2011,Internet,1,"If you're a Java developer, you've almost certainly heard of OSGi   and also heard that it's becoming quite a big deal. But you may still be wondering exactly ""What is OSGi ""    Simply put, OSGi is a technology that allows you to create highly modula...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/hall.jpg
GWT in Action,Robert Hanson,402,1933988231,06-01-2007,Internet,49,"The Google Web Toolkit (GWT) is a new technology from Google that automatically translates Java into JavaScript, making Ajax applications easier to code and deploy. GWT in Action is a comprehensive tutorial for Java developers interested in building ...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/hanson.jpg
The Quick Python Book,Daryl Harms,905,1884777740,10-01-1999,Python,29,"The Quick Python Book is a clear, concise introduction to Python, one of the most elegant programming languages in existence. The book is aimed at readers who know programming but for whom the Python language is new.  This book is designed so that yo...",https://s3.amazonaws.com/AKIAJC5RLADLUMVRPFDQ.book-thumb-images/harms.jpg
